WHERE GET ON,Name,S7,N5,W3,E7,P1,NE8,N7,NE9,N2,S6,E6,W1,NE10,N9,E5,S5,E4,5P,S1,E1,W5,E9,E3,E8,E2,S4,NE7,N6,N8,N4,N3,N11,S3,N1,N10,W2,S2,W4,
W1,Dome,12,3,6,6,2,0,0,2,0,3,5,0,2,1,1,4,1,14,1,4,16,6,4,3,1,1,4,7,0,3,1,1,5,3,2,2,3,5,132
NE10,Doraville,127,140,5,20,4,28,19,76,79,36,12,17,0,30,2,16,2,496,15,85,16,21,10,19,7,4,74,104,17,154,224,36,12,339,24,5,48,5,2328
N9,Dunwoody,65,63,0,5,1,6,34,7,23,9,7,6,8,0,0,4,0,121,4,18,3,4,2,4,5,1,3,25,10,52,60,40,6,127,32,1,7,2,764
E5,East Lake,17,30,1,31,1,5,18,7,9,3,26,10,4,9,0,5,3,141,0,69,9,10,7,18,1,2,11,10,14,21,39,2,3,43,8,1,10,2,604
S5,East Point,159,95,18,26,18,25,40,24,42,129,36,14,26,49,1,0,5,378,30,61,44,14,19,21,13,12,31,80,42,69,74,32,52,157,41,6,65,13,1962
E4,Edgewood,17,27,4,16,4,3,9,6,9,9,19,19,7,8,2,5,0,170,1,96,9,4,8,7,7,0,8,8,11,18,22,7,3,32,7,3,8,2,598
5P,Five Points,141,206,66,99,101,54,60,83,67,125,114,52,93,102,13,84,21,0,23,98,209,61,57,98,50,29,74,188,51,170,168,88,94,90,63,55,188,66,3401
S1,Garnett,25,17,2,5,5,4,5,11,11,15,18,1,12,8,0,21,0,40,0,7,12,4,4,5,5,3,7,12,1,18,13,6,16,14,5,2,38,2,379
E1,Georgia State,14,9,10,29,9,3,2,6,5,21,28,4,6,3,5,12,6,77,2,0,30,16,18,26,11,2,6,9,1,12,9,6,15,9,3,7,18,8,455
W5,H. E. Holmes,51,92,68,66,47,25,37,28,43,68,85,55,26,47,5,43,7,720,16,183,0,29,49,55,30,8,30,80,30,70,85,34,59,118,39,30,100,79,2638
E9,Indian Creek,63,115,13,197,13,19,67,35,56,34,202,54,27,52,3,22,7,572,13,306,47,0,25,158,26,6,25,89,47,71,135,32,19,151,58,5,35,15,2816
E3,Inman Park,24,39,6,43,10,5,26,19,10,16,41,20,18,18,7,8,9,227,5,127,23,19,0,40,12,3,14,25,16,36,32,11,13,46,15,5,26,7,1020
E8,Kensington,72,110,14,237,11,17,31,36,49,36,258,49,37,44,7,26,11,452,10,246,56,93,37,0,33,8,29,44,35,55,62,33,25,124,32,20,37,14,2490
E2,King Memorial,14,47,7,41,7,7,9,12,8,14,26,8,12,12,2,14,3,111,5,29,25,8,17,22,0,2,9,29,5,30,29,15,15,21,9,7,20,6,657
S4,Lakewood,37,57,12,5,8,4,26,11,35,33,11,4,16,30,0,22,2,198,13,26,10,3,9,6,4,0,21,35,29,31,55,23,11,85,38,1,20,1,935
NE7,Lenox,48,41,3,3,1,10,2,19,26,7,5,13,14,11,0,6,0,107,10,20,2,4,3,4,4,1,0,33,5,39,38,6,1,103,7,2,15,0,614
N8,Lindbergh Center,134,266,7,22,15,26,93,39,85,117,26,47,38,141,7,22,5,464,16,68,18,20,17,14,9,9,47,0,38,263,226,61,11,555,60,3,51,6,3044
N8,Medical Center,30,30,2,2,1,3,9,3,10,19,2,4,4,7,0,5,0,60,4,7,7,4,2,4,1,2,1,13,0,23,23,14,2,52,4,1,4,2,362
N4,Midtown,79,50,3,6,5,9,42,16,29,40,10,17,13,41,0,9,3,166,12,21,11,5,6,9,6,1,19,40,21,0,32,35,6,114,35,4,18,1,930
N3,North Avenue,75,67,2,10,4,10,27,17,13,22,18,23,26,35,1,13,2,138,7,25,12,7,4,10,6,3,22,76,23,42,0,27,17,73,104,8,32,4,1005
N11,North Springs,237,255,4,13,4,16,137,18,90,22,9,21,30,88,2,12,2,596,21,91,7,6,3,9,5,4,22,120,68,233,412,0,10,605,67,2,23,2,3264
S3,Oakland City,89,74,49,30,43,27,30,22,33,83,28,25,24,43,1,72,5,355,27,82,82,19,22,30,15,21,28,66,19,84,74,31,0,97,26,14,167,24,1962
N1,Peachtree Center,115,29,2,6,1,6,18,12,7,15,5,6,14,8,0,5,0,32,9,10,12,5,4,9,1,6,27,64,9,23,27,10,10,0,9,5,13,1,534
N10,Sandy Springs,73,52,1,2,0,3,36,2,34,12,3,6,3,12,0,2,0,116,6,17,1,1,1,2,1,6,4,19,5,68,116,17,1,132,0,0,4,0,762
W2,Vine City,8,20,18,19,10,4,4,7,6,12,14,6,8,8,3,13,0,141,4,35,27,7,9,20,11,3,6,18,4,28,17,6,11,8,5,0,15,7,541
S2,West End,103,110,18,26,21,19,34,31,47,83,26,17,23,52,3,68,5,421,36,62,55,19,17,20,12,14,39,92,37,95,81,41,69,100,32,9,0,13,1950
W4,West Lake,20,24,30,22,23,6,6,12,13,18,18,18,9,12,3,17,3,212,5,46,114,14,16,23,10,1,8,32,11,28,17,7,15,20,8,12,35,0,885
TOTAL,,2640,2697,437,1269,450,489,1093,748,1142,1360,1398,762,780,1219,100,838,142,8707,412,2439,1149,624,468,1121,373,227,854,1827,787,2267,2691,920,763,4398,995,267,1374,358,50586

