WHERE GET ON,Name,S7,N5,W3,E7,P1,NE8,N7,NE9,N2,S6,E6,W1,NE10,N9,E5,S5,E4,5P,S1,E1,W5,E9,E3,E8,E2,S4,NE7,N6,N8,N4,N3,N11,S3,N1,N10,W2,S2,W4,,
S5,East Point,335,63,18,37,26,18,20,28,25,269,44,23,51,28,3,0,4,365,33,55,95,34,30,46,25,47,32,67,28,41,54,34,119,67,22,16,142,18,2363,
E4,Edgewood,28,20,6,26,7,2,4,4,5,10,35,16,4,3,5,5,0,123,3,103,17,23,26,32,10,1,6,8,3,10,13,6,11,14,2,5,10,6,615,
5P,Five Points,508,381,240,312,240,174,77,284,130,561,249,75,499,193,69,369,110,0,67,164,729,325,296,446,165,149,238,603,81,329,305,424,511,197,124,215,692,260,10792,
S1,Garnett,64,36,7,13,11,9,9,23,18,55,16,5,36,6,1,46,3,90,0,10,23,17,11,22,9,14,17,46,4,21,30,16,51,27,4,7,109,7,895,
E1,Georgia State,43,44,44,180,32,23,8,35,18,89,102,14,64,20,78,66,117,263,9,0,165,253,195,228,42,17,23,70,8,32,35,64,82,27,13,42,75,49,2669,
W5,H. E. Holmes,147,84,98,74,63,16,15,27,18,128,74,73,38,28,14,69,16,686,22,132,0,79,84,95,38,14,37,63,21,63,59,42,111,65,24,43,148,155,2965,
E9,Indian Creek,181,71,19,210,19,14,22,32,33,73,197,59,53,31,12,34,16,295,9,181,75,0,50,199,27,6,32,56,30,39,53,41,39,62,30,15,56,24,2397,
E3,Inman Park,57,43,28,75,17,8,8,21,10,42,67,33,16,16,12,33,19,263,7,161,78,48,0,88,30,8,16,41,8,41,31,16,42,32,15,21,56,27,1535,
E8,Kensington,228,82,32,434,22,17,16,29,17,81,345,49,48,36,20,46,27,444,13,195,112,217,88,0,53,17,38,63,28,54,48,41,55,72,22,23,69,35,3215,
E2,King Memorial,33,28,16,44,15,3,8,13,8,27,44,18,16,12,5,21,12,168,8,39,44,33,43,54,0,4,9,29,4,28,22,10,26,17,7,14,29,15,925,
S4,Lakewood,122,32,4,7,5,3,9,8,13,62,12,8,17,11,2,41,3,150,9,17,16,9,12,9,6,0,17,28,15,18,21,13,28,29,14,4,52,5,831,
NE7,Lenox,133,77,20,25,7,59,5,77,24,74,15,24,88,28,4,44,7,213,13,11,50,33,22,41,15,18,0,149,3,89,62,19,43,168,9,14,92,12,1790,
N8,Lindbergh Center,253,240,26,43,23,56,93,94,54,117,31,62,102,120,7,75,6,538,28,55,62,53,34,66,29,28,135,0,33,188,160,116,66,336,52,17,115,19,3534,
N8,Medical Center,52,23,4,12,3,4,12,7,6,55,7,3,9,22,2,19,3,58,2,4,20,19,7,23,2,14,3,33,0,19,13,30,16,20,7,2,22,4,561,
N4,Midtown,178,113,32,36,14,53,35,64,60,79,26,29,102,54,10,52,12,326,25,29,60,44,39,56,36,16,78,281,15,0,97,97,62,154,46,31,84,27,2554,
N3,North Avenue,141,129,23,35,17,46,32,58,40,118,32,28,102,55,12,61,14,351,24,38,60,62,37,49,27,24,70,247,18,85,0,121,75,151,103,20,116,24,2645,
N11,North Springs,301,111,10,32,7,18,61,23,32,54,19,39,33,82,3,29,4,349,11,48,29,25,13,26,9,14,17,113,31,71,91,0,25,170,66,8,37,12,2027,
S3,Oakland City,278,78,30,39,40,13,16,17,25,215,33,21,42,26,5,122,8,496,28,84,135,39,46,60,24,30,31,72,24,53,81,32,0,68,18,20,280,41,2671,
N1,Peachtree Center,416,182,15,40,10,103,49,133,40,114,24,19,191,81,10,60,13,197,24,16,56,53,24,58,21,32,179,426,23,161,152,187,62,0,52,15,97,16,3350,
N10,Sandy Springs,133,47,6,17,4,6,31,14,10,56,12,10,20,55,3,20,3,120,4,13,28,33,15,23,9,16,10,71,8,59,103,89,15,45,0,6,31,2,1147,
W2,Vine City,33,18,29,17,20,5,3,3,9,31,18,8,12,7,2,14,5,205,7,39,52,16,22,25,10,4,19,23,2,27,23,9,21,17,5,0,31,17,806,
S2,West End,303,147,50,51,43,25,28,43,42,261,55,20,69,55,7,142,12,663,75,65,154,49,62,64,36,61,75,107,33,73,87,53,282,93,28,29,0,50,3491,
W4,West Lake,38,28,33,20,25,6,2,8,9,41,25,15,16,13,5,23,2,226,7,46,161,25,28,35,13,7,7,22,10,22,22,12,35,19,5,13,48,0,1077,
TOTAL,,6394,2939,1029,2527,871,1073,923,1625,935,4285,2130,1023,2515,1500,440,2271,580,10099,638,2161,3133,2449,1660,3059,900,813,1704,4125,672,2307,2297,2434,2496,3068,1069,777,3445,1085,83450,

